date,predicted_root_cause,stations_affected,fraction_of_fleet,p_value_vs_chance,classification
2025-01-05,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-01-08,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-01-12,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-01-27,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-02-08,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-02-15,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-02-16,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-01,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-02,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-05,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-06,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-08,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-10,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-16,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-17,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-18,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-21,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-24,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-27,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-30,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-03-31,sensor_stuck_fault,2,0.4,0.3461,ISOLATED_FAULT
2025-01-06,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-09,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-11,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-18,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-21,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-26,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-28,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-03,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-04,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-08,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-13,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-17,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-19,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-02-20,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-02,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-03,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-05,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-06,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-10,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-15,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-17,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-18,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-26,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-27,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-03-28,sensor_spike_fault,2,0.4,0.393,ISOLATED_FAULT
2025-01-01,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-02,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-03,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-04,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-05,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-06,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-07,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-08,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-10,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-11,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-12,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-13,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-14,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-15,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-16,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-18,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-20,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-22,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-23,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-24,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-25,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-26,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-27,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-29,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-30,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-31,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-01,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-02,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-03,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-04,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-06,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-07,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-10,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-12,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-13,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-14,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-15,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-17,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-18,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-20,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-21,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-22,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-23,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-27,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-02-28,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-01,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-02,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-03,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-04,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-05,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-06,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-07,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-12,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-14,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-15,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-16,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-18,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-19,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-22,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-23,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-24,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-25,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-27,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-28,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-03-30,localized_sensor_fault,5,1.0,0.6915,ISOLATED_FAULT
2025-01-09,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-01-17,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-01-19,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-01-21,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-05,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-09,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-16,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-19,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-24,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-02-26,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-09,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-11,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-13,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-17,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-20,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-21,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-26,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-29,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-03-31,localized_sensor_fault,4,0.8,0.9562,ISOLATED_FAULT
2025-01-28,localized_sensor_fault,3,0.6,0.9968,ISOLATED_FAULT
2025-02-08,localized_sensor_fault,3,0.6,0.9968,ISOLATED_FAULT
2025-02-11,localized_sensor_fault,3,0.6,0.9968,ISOLATED_FAULT
2025-02-25,localized_sensor_fault,3,0.6,0.9968,ISOLATED_FAULT
2025-03-08,localized_sensor_fault,3,0.6,0.9968,ISOLATED_FAULT
2025-03-10,localized_sensor_fault,2,0.4,0.9999,ISOLATED_FAULT
2025-01-01,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-02,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-02,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-03,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-04,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-04,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-05,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-05,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-05,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-05,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-07,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-07,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-08,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-09,normal,1,0.2,1.0,ISOLATED_FAULT
2025-01-09,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-10,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-10,normal,1,0.2,1.0,ISOLATED_FAULT
2025-01-10,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-10,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-11,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-12,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-12,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-12,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-13,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-13,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-13,normal,1,0.2,1.0,ISOLATED_FAULT
2025-01-13,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-13,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-14,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-14,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-14,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-15,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-15,normal,1,0.2,1.0,ISOLATED_FAULT
2025-01-15,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-15,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-16,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-16,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-16,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-16,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-17,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-17,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-18,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-18,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-19,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-21,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-22,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-22,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-22,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-22,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-23,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-23,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-25,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-01-25,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-27,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-27,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-29,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-29,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-01-29,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-30,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-30,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-01-31,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-01-31,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-01,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-01,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-02,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-02,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-03,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-03,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-03,possible_genuine_weather_event,1,0.2,1.0,ISOLATED_FAULT
2025-02-03,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-04,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-05,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-05,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-06,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-06,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-06,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-07,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-07,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-08,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-08,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-09,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-10,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-10,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-11,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-11,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-11,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-12,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-12,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-13,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-13,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-14,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-14,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-15,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-15,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-15,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-15,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-16,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-17,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-17,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-17,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-18,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-18,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-18,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-18,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-19,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-19,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-19,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-19,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-20,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-20,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-22,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-22,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-23,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-23,normal,1,0.2,1.0,ISOLATED_FAULT
2025-02-23,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-24,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-24,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-24,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-25,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-25,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-02-25,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-26,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-27,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-02-27,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-02-27,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-02-28,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-01,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-01,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-03-02,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-02,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-03,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-03,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-04,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-04,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-03-05,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-07,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-07,normal,1,0.2,1.0,ISOLATED_FAULT
2025-03-07,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-07,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-08,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-08,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-08,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-09,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-09,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-09,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-03-09,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-10,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-10,possible_genuine_weather_event,1,0.2,1.0,ISOLATED_FAULT
2025-03-11,communication_failure,1,0.2,1.0,ISOLATED_FAULT
2025-03-11,normal,1,0.2,1.0,ISOLATED_FAULT
2025-03-11,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-03-11,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-12,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-12,normal,1,0.2,1.0,ISOLATED_FAULT
2025-03-12,physics_inconsistent_reading,1,0.2,1.0,ISOLATED_FAULT
2025-03-12,possible_genuine_weather_event,1,0.2,1.0,ISOLATED_FAULT
2025-03-12,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-13,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-13,sensor_spike_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-13,sensor_stuck_fault,1,0.2,1.0,ISOLATED_FAULT
2025-03-15,calibration_drift_or_inconsistency,1,0.2,1.0,ISOLATED_FAULT
2025-03-15,communication_failure,1,0.2,1.0,ISOLATED_FAULT
